"ID","Fonte","Referência","Requisito","Componente AirTrust","Status atual","Implementação/evidência necessária","Teste mínimo","Gate regulatório","Prioridade"
"EDB-773-001","Resolução 773/2025","Art. 2º","Diário de Bordo como documento único e meio oficial","Regulated Records Core","Inexistente","Definir fonte oficial por operador/aeronave; impedir dupla oficialidade","Teste de flag por aeronave e exportação do ato autorizativo","Autorização ANAC em EO/LOA","P0"
"EDB-773-002","Resolução 773/2025","Art. 2º, parágrafo único","Divisão em volumes com termos de abertura e encerramento","Volumes eDB","Inexistente","Entidades de volume e termos assinados","Testes de sequência, abertura, encerramento e bloqueio","Confirmar modelo da Portaria 3.220","P0"
"EDB-773-003","Resolução 773/2025","Art. 3º","Integridade e correções evidenciadas sem impedir leitura do original","Records Core","Inexistente","Versões append-only e addendum","Teste de correção preservando versão e assinatura anteriores","Método de cumprimento Res. 458","P0"
"EDB-773-004","Resolução 773/2025","Art. 3º §1º","Retenção por toda existência da aeronave e 5 anos e 1 dia após cancelamento","Retenção e arquivo","Inexistente","Política e armazenamento de longo prazo; portabilidade","Drill de recuperação e teste de retenção","Aceitação da política pela ANAC","P0"
"EDB-773-005","Resolução 773/2025","Art. 4º","Uso e descontinuidade do meio digital submetidos à ANAC","Governança regulatória","Inexistente","Estados shadow/authorized/official/suspended/decommissioning","Teste de bloqueio sem ato autorizativo","EO ou LOA emitida","P0"
"EDB-773-006","Resolução 773/2025","Art. 5º","Identificação de fabricante, modelo, série, marcas, proprietário e operador","Snapshot aeronave/operador","Parcial","Snapshot regulatório independente de cadastros mutáveis","Teste de preservação após alteração cadastral","Validar campos no FOP 200","P0"
"EDB-773-007","Resolução 773/2025","Art. 6º I","Identificação de tripulantes e funções","Tripulação eDB","Parcial","CANAC e função regulatória por etapa","Testes de função, troca de tripulação e snapshot","Confirmar códigos da Portaria compilada","P0"
"EDB-773-008","Resolução 773/2025","Art. 6º II-III","Data, local de saída e destino","Registro por etapa","Disponível operacionalmente","Projetar data/origem/destino com validação e snapshot","Testes de múltiplas etapas e timezone","Nenhum além do ateste geral","P0"
"EDB-773-009","Resolução 773/2025","Art. 6º IV-VII","Horários de partida, decolagem, pouso e corte","Registro por etapa","Disponível operacionalmente","Timestamps completos, timezone e consistência temporal","Testes de sequência e virada de data","Confirmar apresentação local/UTC","P0"
"EDB-773-010","Resolução 773/2025","Art. 6º VIII-X","Pousos, ciclos, duração e discriminação de tempos","Registro por etapa","Parcial","Campos diurno/noturno/VFR/IFR real/simulado e cálculo versionado","Testes de soma e invariantes","Confirmar critérios de cálculo","P0"
"EDB-773-011","Resolução 773/2025","Art. 6º XI","Combustível consumido e abastecimentos","Registro por etapa/abastecimento","Parcial","Unidades, quantidades e origem congeladas","Testes de unidade, não negatividade e reconciliação","Confirmar unidade por frota","P1"
"EDB-773-012","Resolução 773/2025","Art. 6º XII-XIV","POB, carga e natureza do voo","Registro por etapa","Parcial","Campos obrigatórios e catálogo versionado","Testes de completude e regras por natureza","Validar catálogo operacional","P0"
"EDB-773-013","Resolução 773/2025","Art. 6º XV-XVI","Ocorrências e discrepâncias técnicas","Ocorrências e situação técnica","Parcial","Registros estruturados com autor e assinatura","Teste de vínculo ocorrência-discrepância","Integração com manutenção a validar","P0"
"EDB-773-014","Resolução 773/2025","Art. 7º","Assinatura do PIC ao fim do voo ou jornada","Assinatura PIC","Inexistente","Ato deliberado sobre snapshot canônico","Testes de intenção, reautenticação, vínculo e prazo","Método de assinatura aceito pela ANAC","P0"
"EDB-773-015","Resolução 773/2025","Art. 7º §2º","Últimos 30 dias disponíveis na aeronave","PED/offline","Inexistente","Pacote local cifrado e verificável","Teste offline com 30 dias e situação técnica","Aceitação do modelo PED/PWA","P0"
"EDB-773-016","Resolução 773/2025","Art. 8º","Ação corretiva ou ação retardada para discrepâncias","Situação técnica","Inexistente","Workflow de discrepância e providência","Testes de estados e assinatura imediata","Validar fronteira eDB/SDRMe","P0"
"EDB-773-017","Resolução 773/2025","Art. 9º","Última/próxima intervenção, horas e ciência do PIC","Aviso de inicialização","Inexistente","Snapshot técnico e confirmação antes do voo","Teste de bloqueio até ciência","Fonte técnica e método de ciência","P0"
"EDB-773-018","Resolução 773/2025","Art. 10","Responsabilidade do operador pela guarda e adequação","Administração e governança","Parcial","Papéis formais, auditoria e procedimentos","Teste de segregação e trilha administrativa","Manuais aceitos","P0"
"EDB-773-019","Resolução 773/2025","Art. 10, parágrafo único","Contrassinatura do operador em até 15 dias para RBAC 135","Assinatura operador","Inexistente","Fila/SLA, designação e assinatura digital","Testes de prazo, alertas e impedimentos definidos","Designação e método aceitos","P0"
"EDB-773-020","Resolução 773/2025","Arts. 11-12","Comunicação, reconstituição e risco de suspensão/interdição","DR regulatório","Inexistente","Detecção, caso de reconstituição e runbook","Drill de corrupção e reconstituição","Procedimento validado com ANAC","P0"
"EDB-773-021","Resolução 773/2025","Arts. 13-14","Transferência de acervo e retenção pós-exportação","Portabilidade","Inexistente","Exportação completa, cadeia de custódia e cópia legal","Teste de exportação/importação verificável","Formato aceitável pela ANAC","P1"
"EDB-773-022","Resolução 773/2025","Art. 15","Compartilhamento digital nos moldes regulatórios","Integrações externas","Inexistente","Contrato somente após padrão confirmado","Teste de escopo e consentimento regulatório","Pergunta formal à ANAC","P2"
"EDB-458-001","Resolução 458/2017","Art. 3º I","Escopo explicitamente autorizado","Governança regulatória","Inexistente","Vincular operador, aeronave, escopo e ato","Teste de bloqueio fora do escopo","Ateste + EO/LOA","P0"
"EDB-458-002","Resolução 458/2017","Art. 3º II","Demonstração de segurança por alternativa admitida","Conformidade independente","Inexistente","Escolher método e produzir relatório","Evidência independente e fechamento de achados","Orientação prévia da ANAC","P0"
"EDB-458-003","Resolução 458/2017","Art. 3º III","Sistema disponível para auditoria a qualquer momento","Fiscalização","Inexistente","Acesso/exportação read-only com escopo fechado","Teste de disponibilidade e isolamento tenant","Modelo de acesso aceito","P0"
"EDB-458-004","Resolução 458/2017","Art. 3º §§1º-3º","Reuso no mesmo escopo e novo processo se método mudar","Change control","Inexistente","Versionar método de cumprimento e avaliar impacto","Teste/guard de versão e checklist de release","Política aceita no ateste","P0"
"EDB-458-005","Resolução 458/2017","Art. 4º I","Criptografia assimétrica, assinaturas, hash, chaves e certificado","Crypto/signature core","Inexistente","Arquitetura criptográfica e gestão de chaves","Testes de assinatura, verificação e rotação","Escolha técnica validada","P0"
"EDB-458-006","Resolução 458/2017","Art. 4º II a-c","Singularidade, controle exclusivo e intenção de assinar","Signature intent","Inexistente","Identidade reforçada e intenção por conteúdo/finalidade","Testes de não reutilização e reautenticação","Método de identidade aceito","P0"
"EDB-458-007","Resolução 458/2017","Art. 4º II d-f","Ação deliberada, revisão do conteúdo e associação permanente","Signature envelope","Inexistente","Tela congelada e envelope persistente","Testes de alteração de um byte e falha de verificação","Método de assinatura aceito","P0"
"EDB-458-008","Resolução 458/2017","Art. 4º II g-j","Rastreabilidade, recuperação, proteção e nova assinatura após alteração","Records Core","Inexistente","Audit trail regulado e versionamento","Testes de autorização, recuperação e correção","Ateste técnico","P0"
"EDB-458-009","Resolução 458/2017","Art. 4º II k-m","Permanência, identificação positiva e correção preservando original","Records Core","Inexistente","Append-only e invalidation semantics","Testes de retenção e addendum","Ateste técnico","P0"
"EDB-458-010","Resolução 458/2017","Art. 4º III","Arquivamento seguro e não repúdio","Arquivo regulado","Inexistente","WORM lógico, evidência de certificado e timestamp","Testes de tamper detection e verificação tardia","Método aceito","P0"
"EDB-458-011","Resolução 458/2017","Art. 4º IV-V","Políticas, auditorias periódicas e comunicação de mudança","Governança","Parcial","Políticas formais e calendário de auditoria","Auditoria interna e evidência de revisão","Manuais/processo aceitos","P1"
"EDB-458-012","Resolução 458/2017","Art. 5º","Backup, treinamento, confidencialidade e formato aceitável","Operação e suporte","Parcial","Procedimentos e evidências específicas do eDB","Drill, treinamento e exportação","Aceitação do pacote","P0"
"EDB-458-013","Resolução 458/2017","Art. 6º","Acesso direto da ANAC quando requerido","Fiscalização","Inexistente","Acesso temporário ou mecanismo definido","Teste de menor privilégio e auditoria","Definir com ANAC","P1"
"EDB-458-014","Resolução 458/2017","Arts. 7º-10","Continuidade, perda de infraestrutura, treinamento e migração","BCP/DR","Inexistente","Plano de continuidade e migração íntegra","Testes de failover e migração","Método aceito","P0"
"EDB-3220-001","Portaria 3.220 compilada","Arts. 2º-3º","Conceito de software, elementos e volume","Arquitetura/volumes","Inexistente","Modelar software, PED e volumes","Revisão documental e teste de volume","Confirmar vigência material pós-773","P0"
"EDB-3220-002","Portaria 3.220 compilada","Arts. 4º-8º","Numeração, abertura e encerramento de volumes","Volumes eDB","Inexistente","Sequência e termos conforme modelo","Testes de mudança de marcas e fechamento","Validar formato exato","P0"
"EDB-3220-003","Portaria 3.220 compilada","Arts. 9º-11","Autenticação, autorização e PED funcional","IAM/PED","Parcial","Prerrogativas específicas e inventário de dispositivos","Testes RBAC/tenant e dispositivo revogado","Aceitação do PED","P0"
"EDB-3220-004","Portaria 3.220 compilada","Art. 12","Impedimento sem acesso integral e necessidade de stand-alone","Offline","Inexistente","Offline completo ou contingência autorizada","Teste sem rede durante ciclo operacional","Aceitação da arquitetura offline","P0"
"EDB-3220-005","Portaria 3.220 compilada","Arts. 13-14","Aviso inicial e confirmação de leitura","Situação técnica/PED","Inexistente","Tela inicial obrigatória e ack","Teste de bloqueio e conteúdo exibido","Validar forma da ciência","P0"
"EDB-3220-006","Portaria 3.220 compilada","Arts. 15-17","Parte I, Parte II e Parte III","Modelo de registro","Inexistente","Separar voo, situação técnica e discrepâncias/ações","Testes de composição e exportação","Confirmar layout vigente","P0"
"EDB-3220-007","Portaria 3.220 compilada","Anexo I / Parte I","Campos detalhados por etapa e totais","Registro por etapa","Parcial","Completar campos e funções atuais","Matriz campo a campo e fixtures","Validação ANAC","P0"
"EDB-3220-008","Portaria 3.220 compilada","Portaria 15.103/2024","Códigos de função atualizados","Catálogo tripulação","Inexistente","Catálogo versionado e mapeamento PIC/SIC legado","Testes de todas as funções","Confirmar aplicabilidade à operação","P1"
"EDB-3220-009","Portaria 3.220 compilada","Arts. 28-43 / Anexo II","Situação técnica, discrepância e retorno ao serviço","Technical status","Inexistente","Workflow e assinaturas específicas","Testes de discrepância, ação e RTS","Fronteira eDB/SDRMe","P0"
"EDB-3220-010","Portaria 3.220 compilada","Cadastro de terceiros","Identificação de aprovador externo","Manutenção terceirizada","Inexistente","CANAC/licença, COM/COA e cadastrador","Testes de escopo e expiração","Validar documentos equivalentes","P1"
"EDB-3220-011","Portaria 3.220 compilada","Arts. 44-46","Pesquisa, apresentação, impressão e assinatura digital do operador","Fiscalização/export","Inexistente","UI cronológica e PDF assinado","Golden tests e verificador","Aceitar layout do Anexo III","P0"
"EDB-3220-012","Portaria 3.220 compilada","Arts. 47-48","Prazos de assinatura e dados automatizados sujeitos ao PIC","Workflow assinatura","Inexistente","Pendências e bloqueio na troca de tripulação","Testes de prazo e importação sem autoassinatura","Método aceito","P0"
"EDB-3220-013","Portaria 3.220 compilada","Art. 49","Migração em até 30 dias, prorrogável até 90","Cutover","Inexistente","Plano por aeronave e evidência de saldos","Ensaio de cutover e rollback regulatório","Ato e prazo definidos","P0"
"EDB-3220-014","Portaria 3.220 compilada","Arts. 50-52","Retenção, 30 dias e reconstituição","Arquivo/PED/DR","Inexistente","Implementação coordenada","Drills integrados","Aceitação do procedimento","P0"
"EDB-PROC-001","Serviço ANAC Registros Digitais","Fluxo publicado","Ateste do software","Submissão de produto","Inexistente","Checklist 458 e relatório competente","Auditoria de evidências","Protocolo e manifestação ANAC","P0"
"EDB-PROC-002","Serviço ANAC RBAC 135","FOP 200","Reunião prévia","Regulatório","Não iniciado","Pacote de conceito e perguntas","Revisão interna do pacote","Agenda e ata com ANAC","P0"
"EDB-PROC-003","Serviço ANAC RBAC 135","FOP 219 / D-144-01 / FAI","Alteração de EO e manuais","Operador","Não iniciado","Pacote do operador e processos de manual","Checklist de protocolo","Aprovação/aceitação e EO","P0"
"EDB-PROC-004","Serviço ANAC RBAC 135","TFAC 11 C4","Pagamento da TFAC publicada","Operador","Não iniciado","Reconfirmar código/valor no protocolo","Comprovante","Exigibilidade confirmada","P1"
