codigo_sessao;nome_antes;nome_depois;descricao_antes;descricao_depois;duracao_antes;duracao_depois;quantidade_itens_antes;quantidade_itens_depois;itens_mantidos;itens_movidos;itens_removidos;itens_adicionados;itens_substituidos;risco;status
A139-I-01/12;Familiarização / Checklist Normal / Voo Normal;Familiarização / Checklist Normal / Voo Normal;Familiarização com a aeronave AW139, procedimentos básicos de voo VFR e introdução às primeiras anormalidades;Familiarização com a aeronave AW139, procedimentos básicos de voo VFR e introdução às primeiras anormalidades;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-I-02/12;Voo Visual e Perfil Básico;Voo Visual e Perfil Básico;Emergências de motor, operação OEI (One Engine Inoperative) e técnicas de autorrotação;Consolidacao de voo visual: subida/cruzeiro, curvas, holding visual, navegacao offshore introdutoria, correcao de perfil em aproximacao e operacao com vento cruzado leve.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
A139-I-03/12;Sistema Elétrico, Barras, Geradores e Anormalidades Básicas;Sistema Elétrico, Barras, Geradores e Anormalidades Básicas;Sistema elétrico, configuração de barras, geradores e falhas relacionadas;Sistema elétrico, configuração de barras, geradores e falhas relacionadas;120;120;18;18;18;0;0;0;0;MEDIO;BLOQUEAR_TEMPORARIAMENTE
A139-I-04/12;AFCS, Aviônicos e Degradações Simples;AFCS Normal, Automacao e Degradacoes;Introdução ao voo IFR, navegação instrumental e procedimentos de aproximação;Engajamento e monitoramento do AFCS/FD, uso de automacao (FMA), progressao de degradacoes de AFCS (AP OFF, AP failure, MISTRIM, SAS degraded, AFCS degraded) e primeira exposicao a controle IFR manual.;120;120;18;18;2;7;9;9;0;MEDIO;IMPLEMENTAR
A139-I-05/12;IFR/PBN Básico;IFR/PBN - Navegacao e Aproximacoes;AFCS (Automatic Flight Control System), Flight Director, EFIS e degradações em ambiente IFR;Navegacao IFR com FMS e meios convencionais, SID/STAR, holding, aproximacao RNP, e progressao completa de aproximacoes (nao-precisao, precisao, grande angulo, arremetida).;120;120;18;18;7;8;3;3;0;MEDIO;IMPLEMENTAR
A139-I-06/12;CAT A/B Introdutório;CAT A/B e Emergencias de Powerplant;Powerplant avançado, sistema FADEC e falhas combinadas de motor;Powerplant avançado, sistema FADEC e falhas combinadas de motor;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
A139-I-07/12;AFCS e Aviônicos;Avionicos - Falhas de Display e Air Data;Aviônicos, falhas duplas de sistemas e gerenciamento de emergências;Falhas de display e sistemas de referencia (ADS, AHRS, PFD, MFD, EICAS, ADC), consolidacao com aproximacoes de precisao/nao-precisao e emergencias de powerplant recorrentes.;120;120;18;18;0;9;9;9;0;MEDIO;IMPLEMENTAR
A139-I-08/12;Rotor, Transmissão e Sistema Hidráulico;Rotor, Transmissão e Sistema Hidráulico;Main Gearbox (MGB), transmissão, rotor de cauda e sistema hidráulico;Main Gearbox (MGB), transmissão, rotor de cauda e sistema hidráulico;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-I-09/12;Fogo/Fumaça e Emergências Avançadas;Fogo/Fumaça e Emergências Avançadas;Emergências de fogo, fumaça, procedimentos em cabine e gerenciamento de alto estresse;Emergências de fogo, fumaça, procedimentos em cabine e gerenciamento de alto estresse;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-I-10/12;Offshore e Helideck;Offshore e Helideck;Operações offshore, cenários IFR/OEI complexos e aproximações críticas;Operações offshore, cenários IFR/OEI complexos e aproximações críticas;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
