codigo;nome;descricao;aeronave;categoria;referencias;modelos_onde_ja_usado;nivel_progressao;equivalencia_funcional;equivalencia_operacional;equivalencia_pedagogica;equivalencia_avaliativa;compatibilidade_posicao;confianca;classificacao
S76-LOFT-23;Briefing Noturno — Ilusões Visuais e Black Hole (SK76);"Briefing pré-voo focado nas ilusões visuais especificas de operacao noturna offshore no SK76: Black Hole Effect, autokinesis, ausencia de horizonte externo; limitacoes do sistema de iluminacao do helideck; criterios de go-around reforcados.";SK76;PRE;"RFM SK76 Secao 1; MGO Operacoes Noturnas";"SK76-S-01/02 (ADICIONAR, proposto); historicamente vinculado a S76-NOT-01 2026-06-16, revertido 2026-07-04";n/a (briefing);ALTA (cobre a parte teorica de reconhecimento);ALTA;ALTA (preparacao formal antes do exercicio);BAIXA sozinho (nao avalia execucao);Deve preceder a execucao, nunca sucede-la;ALTA;MESMA_COMPETENCIA_OUTRO_CONTEXTO
S76-LOFT-24;Inspeção e Acionamento Noturnos — SK76;"Inspecao pre-voo noturna com uso de lanterna no SK76; acionamento com atencao a iluminacao de painel e luzes externas.";SK76;SOL;QRH SK76 Normal Procedures;historicamente vinculado a S76-NOT-01 2026-06-16, revertido 2026-07-04;n/a;BAIXA;BAIXA;BAIXA;SEM_EVIDENCIA;fase SOL, nao aplicavel a posicao de OPS-NOT-X1 (fase EME);ALTA;SEM_EVIDENCIA
S76-LOFT-25;Configuração de Cockpit Noturno — SK76;Ajuste tecnico do cockpit do SK76 para operacao noturna: brilho de MFDs/PFD, luzes de cabine, audio.;SK76;VOO;"Primus 701 Pilot's Guide; QRH SK76";historicamente vinculado a S76-NOT-01 2026-06-16, revertido 2026-07-04;n/a;BAIXA;BAIXA;BAIXA;SEM_EVIDENCIA;fase VOO/configuracao, nao aplicavel;ALTA;SEM_EVIDENCIA
S76-LOFT-26;Decolagem Noturna — Unidade Marítima (SK76);Execucao do perfil de decolagem noturna a partir de helideck offshore no SK76.;SK76;SOL;"RFM SK76 Secao 4; MGO Operacoes Noturnas";historicamente vinculado a S76-NOT-02 2026-06-16, revertido 2026-07-04;INTERMEDIARIO;BAIXA;BAIXA;BAIXA;SEM_EVIDENCIA;fase SOL/decolagem, nao aplicavel;ALTA;SEM_EVIDENCIA
S76-LOFT-27;Perna do Vento (Downwind) Noturna — Helideck Offshore (SK76);Conducao da perna do vento no circuito de trafego noturno com referencia a iluminacao da plataforma.;SK76;Procedimentos Normais;"MGO Circuito de Trafego Noturno; Primus AFCS Guide SK76";historicamente vinculado a S76-NOT-02 2026-06-16, revertido 2026-07-04;INTERMEDIARIO;BAIXA;BAIXA;BAIXA;SEM_EVIDENCIA;fase VOO/circuito, nao aplicavel;ALTA;SEM_EVIDENCIA
S76-LOFT-28;Base e Final Noturna — Referências Externas Degradadas (SK76);"Execucao das pernas base e final do circuito noturno com referencias visuais externas limitadas; identificacao e correcao de desvios de rampa.";SK76;APR;"RFM SK76 Secao 4; MGO Operacoes Noturnas";"SK76-S-01/02 (ADICIONAR, proposto); historicamente vinculado a S76-NOT-01 e S76-NOT-02 2026-06-16, revertido 2026-07-04";INTERMEDIARIO;MEDIA (referencia degradada e adjacente a ilusao mas foco e tecnica de rampa, nao ilusao vestibular);MEDIA;MEDIA;MEDIA;fase APR, compativel mas objetivo declarado distinto;ALTA;EQUIVALENTE_PARCIAL
S76-LOFT-29;Pouso Noturno no Helideck — Referência de Iluminação (SK76);"Tecnica de pouso no helideck noturno: referencia primaria na iluminacao do deck; gestao da perda de referencias visuais na fase final (ultimos 15-20ft); committal point.";SK76;APR;"RFM SK76 Secao 4; MGO Helideck Noturno";historicamente vinculado a S76-NOT-02 2026-06-16, revertido 2026-07-04;INTERMEDIARIO;MEDIA;MEDIA;MEDIA;MEDIA;fase APR, tecnica de pouso, nao reconhecimento/correcao de ilusao em si;ALTA;EQUIVALENTE_PARCIAL
S76-LOFT-30;Arremetida Noturna — Helideck (SK76);"Execucao de arremetida noturna a partir da final ou hover baixo sobre o helideck; coordenacao PF/PM.";SK76;APR;RFM SK76 Secao 4;historicamente vinculado a S76-NOT-02 2026-06-16, revertido 2026-07-04;INTERMEDIARIO;BAIXA;BAIXA;BAIXA;SEM_EVIDENCIA;fase APR, sem mencao a ilusao visual;ALTA;SEM_EVIDENCIA
S76-LOFT-31;Circuito Completo Noturno — Variação de Vento (SK76);"Execucao de circuito completo noturno com variacao simulada de vento; avaliacao da consciencia situacional em condicoes variaveis.";SK76;Procedimentos Normais;MGO Circuito Noturno Offshore;"SK76-S-01/02 (ADICIONAR, proposto); historicamente vinculado a S76-NOT-01 2026-06-16, revertido 2026-07-04";INTERMEDIARIO;BAIXA (consciencia situacional geral, nao ilusao de rampa);BAIXA;MEDIA (enriquece cenario LOFT ao redor);SEM_EVIDENCIA;candidato a enriquecer o cenario, nao substituir OPS-NOT-X1;ALTA;SEM_EVIDENCIA
S76-LOFT-32;Autorrotação Noturna — Área Segura (SK76);Execucao de autorrotacao noturna simulada com referencias de iluminacao limitadas.;SK76;EME;"RFM SK76 Secao 4; MGO Procedimentos de Emergencia Noturnos";historicamente vinculado a S76-NOT-01 2026-06-16, revertido 2026-07-04;AVANCADO;INCOMPATIVEL;INCOMPATIVEL;INCOMPATIVEL;SEM_EVIDENCIA;emergencia de motor/NR, zero overlap com ilusao visual;ALTA;INCOMPATIVEL
