"ID","Tema","Pergunta","Resposta_orientacao","Classificacao","Fonte_evidencia","Data","Responsavel_ANAC","Componente_afetado","Decisao_tecnica","Issue_PR","Bloqueia","Status","Proximo_passo"
"DEC-001","Portaria 3.220","A Portaria compilada permanece integralmente aplicável após a Resolução 773?","","PENDENCIA_ANAC","","","","BASELINE;RECORDS_CORE","","#690","SIM","ABERTO","Obter manifestação rastreável"
"DEC-002","Método de conformidade","Qual alternativa do art. 3º II da Resolução 458 é aplicável ao AirTrust SaaS?","","PENDENCIA_ANAC","","","","CONFORMIDADE;ARQUITETURA","","#695","SIM","ABERTO","Confirmar antes da contratação"
"DEC-003","Entidade avaliadora","Qual competência e independência são exigidas para o relatório?","","PENDENCIA_ANAC","","","","AVALIACAO_INDEPENDENTE","","#695","SIM","ABERTO","Validar RFP e elegibilidade"
"DEC-004","Assinatura PIC","Qual método de assinatura individual é aceito para o PIC?","","PENDENCIA_ANAC","","","","ASSINATURA","","#693","SIM","ABERTO","Publicar ADR após orientação"
"DEC-005","Assinatura operador","A contrassinatura pode usar certificado institucional e automação controlada?","","PENDENCIA_ANAC","","","","ASSINATURA;EXPORTACAO","","#693","SIM","ABERTO","Definir fluxo e pessoa designada"
"DEC-006","Offline","Como tratar assinatura sem comunicação e seu instante jurídico?","","PENDENCIA_ANAC","","","","ASSINATURA;PED","","#693;#694","SIM","ABERTO","Não implementar escrita assinada"
"DEC-007","PED","PWA instalada pode ser aceita como PED stand-alone?","","PENDENCIA_ANAC","","","","PED;FRONTEND","","#694","SIM","ABERTO","Comparar PWA nativo e híbrido"
"DEC-008","Fiscalização","Qual forma de acesso e exportação deve ser disponibilizada à ANAC?","","PENDENCIA_ANAC","","","","FISCALIZACAO;EXPORTACAO","","#689","SIM","ABERTO","Definir modo de inspeção"
"DEC-009","Change control","Quais mudanças do SaaS exigem novo ateste?","","PENDENCIA_ANAC","","","","RELEASE;GOVERNANCA","","#689","SIM","ABERTO","Criar classificação regulatória de delta"
"DEC-010","Ateste multi-tenant","O ateste pode abranger o software e as EO serem específicas por operador?","","PENDENCIA_ANAC","","","","MULTITENANCY;SUBMISSAO","","#689","SIM","ABERTO","Definir escopo do primeiro processo"
"DEC-011","Manuais","Quais manuais e procedimentos RBAC 135 devem ser revisados?","","PENDENCIA_ANAC","","","","MANUAIS;OPERACAO","","#690","SIM","ABERTO","Criar matriz de capítulos"
"DEC-012","Shadow mode","É aceita operação paralela com papel oficial para gerar evidência?","","PENDENCIA_ANAC","","","","SHADOW;TESTES","","#689","SIM","ABERTO","Definir protocolo e período"
"DEC-013","Frota","Como delimitar matrículas no primeiro cutover?","","PENDENCIA_ANAC","","","","EO;CUTOVER","","#689","SIM","ABERTO","Não criar ativação oficial"
"DEC-014","Não interferência","Qual evidência por combinação de PED e aeronave é esperada?","","PENDENCIA_ANAC","","","","PED;EFB;MANUAIS","","#694","SIM","ABERTO","Preparar plano de avaliação do operador"
"DEC-015","Compartilhamento","Existe schema ou API vigente para o art. 15 da Resolução 773?","","PENDENCIA_ANAC","","","","INTEGRACOES","","#689","NAO","ABERTO","Manter fora da primeira versão"
