ID,Norma,Requisito,Módulo AirTrust,Funcionalidade necessária,Evidência ANAC,Status atual,Prioridade,Fase,Risco
REQ-001,Resolução ANAC 458/2017,Sistema informatizado deve garantir autenticidade e integridade dos registros,Records Core,Hash criptográfico de cada registro regulado (SHA-256 ou superior),Log de hashes com timestamps auditáveis,Inexistente,Alta,Fase 2,Adulteração de registros oficiais sem detecção
REQ-002,Resolução ANAC 458/2017,Assinatura eletrônica com validade jurídica,Records Core,Módulo de assinatura eletrônica com certificado digital ou equivalente aceito pela ANAC,Política de assinatura documentada + evidência técnica,Inexistente,Alta,Fase 2,Registros sem validade jurídica; rejeição pela fiscalização
REQ-003,Resolução ANAC 458/2017,Criptografia assimétrica para proteção de dados sensíveis,Records Core / Infra,Uso de TLS 1.2+ na camada de transporte; criptografia em repouso para dados regulados,Política de segurança + certificado SSL/TLS auditável,Parcial (TLS em produção),Alta,Fase 1,Exposição de dados regulados em trânsito ou em repouso
REQ-004,Resolução ANAC 458/2017,Trilha de auditoria imutável de todos os acessos e alterações,Audit Log,Log append-only de criação/edição/exclusão/exportação com userId timestamp e campo alterado,Exportação de audit log para fiscalização,Protótipo (audit_log v2 em schema),Alta,Fase 2,Impossibilidade de reconstruir histórico de alterações
REQ-005,Resolução ANAC 458/2017,Backup regular com capacidade de restauração verificada,Infra,Política de backup automatizado + drill de restauração documentado,Relatório de teste de restauração,Parcial (D1 backup manual documentado),Alta,Fase 1,Perda irrecuperável de registros regulados
REQ-006,Resolução ANAC 458/2017,Preservação dos registros pelo período exigido por norma,Records Core,Política de retenção por tipo de registro (DB=5 anos mínimo; SDRMe=período RBAC 43),Documento de política de retenção com mapeamento por norma,Inexistente,Alta,Fase 2,Registros apagados antes do prazo; infração regulatória
REQ-007,Resolução ANAC 458/2017,Disponibilidade dos registros para fiscalização a qualquer momento,Records Core / DB Digital,Modo fiscalização: acesso read-only para inspetor com exportação imediata,Manual do fiscal + evidência de acesso demonstrado,Inexistente,Alta,Fase 3,Obstáculo à fiscalização; autuação
REQ-008,Resolução ANAC 458/2017,Formato de exportação aceitável pela ANAC,Records Core,Exportação em PDF/XML/CSV estruturado com metadados de integridade,Exemplo de exportação validado com representante ANAC,Inexistente,Alta,Fase 2,Dados ilegíveis ou não auditáveis pela fiscalização
REQ-009,Resolução ANAC 458/2017,Correções sem apagar histórico (addendum),Records Core,Mecanismo de addendum: registro original imutável + registro de correção vinculado,Evidência de fluxo de correção sem deleção lógica,Inexistente,Alta,Fase 2,Alteração de registros oficiais; crime contra a aviação civil
REQ-010,Resolução ANAC 458/2017,Política de correções com rastreabilidade de quem corrigiu e quando,Records Core / Audit Log,Addendum com campos: autor da correção, motivo, timestamp, referência ao registro original,Relatório de addenda exportável,Inexistente,Alta,Fase 2,Auditoria impossível; risco legal
REQ-011,Resolução ANAC 773/2025,Diário de Bordo eletrônico (eDB) substitui DB em papel quando autorizado,DB Digital,Módulo eDB em tablet/PED com todos os campos obrigatórios do DB,Evidência funcional do eDB + autorização do operador,Inexistente,Alta,Fase 3,Operação sem DB válido; restrição de AOC
REQ-012,Resolução ANAC 773/2025,Identificação inequívoca da aeronave no registro,DB Digital,Campo prefixo aeronave (vinculado a registro no módulo de aeronaves) obrigatório antes de abertura do DB,Validação técnica: não é possível abrir DB sem aeronave vinculada,Inexistente,Alta,Fase 3,DB associado à aeronave errada; irregularidade grave
REQ-013,Resolução ANAC 773/2025,Identificação de tripulação com código ANAC/CANAC,DB Digital / Controle de Voos,Campo código ANAC obrigatório para PIC e SIC; vínculo com cadastro de Funcionários,Validação: código ANAC presente e ativo no banco de tripulantes,Parcial (campo CANAC existe em Funcionários),Alta,Fase 3,Tripulante sem identificação regulatória nos registros
REQ-014,Resolução ANAC 773/2025,Registro de horários: partida de motores / decolagem / pouso / corte,DB Digital,Campos distintos para cada etapa com validação de sequência temporal,Evidência de validação de sequência; impossibilidade de pouso antes da decolagem,Inexistente,Alta,Fase 3,Registro inválido; não conformidade com RBAC 135
REQ-015,Resolução ANAC 773/2025,Registro de pousos e ciclos por etapa de voo,DB Digital / Controle de Voos,Campos pousos e ciclos por perna; acumulação automática por aeronave,Exportação de histórico de pousos/ciclos por prefixo,Inexistente,Alta,Fase 3,Dados de manutenção baseados em ciclos incorretos; risco de segurança
REQ-016,Resolução ANAC 773/2025,Registro de combustível (abastecimento e consumo),DB Digital,Campos litros/kg abastecidos e consumidos; vinculado ao fornecedor quando disponível,Relatório de consumo por aeronave e período,Inexistente,Média,Fase 3,Dados operacionais incompletos
REQ-017,Resolução ANAC 773/2025,Registro de POB (pessoas a bordo),DB Digital / Controle de Voos,Campo POB obrigatório por etapa; validação mínimo 1 (PIC),Evidência técnica de obrigatoriedade do campo,Inexistente,Alta,Fase 3,Registro incompleto; não conformidade
REQ-018,Resolução ANAC 773/2025,Assinatura do PIC no DB após cada etapa,DB Digital,Assinatura eletrônica do PIC vinculada ao CANAC; imutável após assinatura,Evidência de assinatura digital com auditoria,Inexistente,Alta,Fase 3,DB sem validade jurídica; risco operacional
REQ-019,Resolução ANAC 773/2025,Assinatura do operador ou pessoa designada,DB Digital,Perfil de operador com permissão de contrassinatura; log de assinatura,Política de assinaturas documentada,Inexistente,Alta,Fase 3,DB incompleto; não aceito pela fiscalização
REQ-020,Resolução ANAC 773/2025,Registro de natureza do voo,DB Digital,Campo natureza obrigatório (passageiro/carga/ambulância/instrução/ferry etc.) por etapa,Lista de naturezas conforme RBAC 135,Inexistente,Alta,Fase 3,Classificação incorreta do voo para fins regulatórios
REQ-021,Portaria 3.220/SPO/SAR/2019,Requisitos de interface e campos do eDB conforme portaria,DB Digital,Campos de abertura/encerramento de folha de DB conforme portaria vigente,Evidência de conformidade campo a campo com a portaria,Inexistente,Alta,Fase 3,eDB com campos faltantes; rejeição pela ANAC
REQ-022,IS 91-015B,Reconstituição de caderneta de voo em caso de perda ou destruição,DB Digital / Records Core,Exportação de histórico completo de voos por tripulante para reconstituição,Evidência de reconstituição a partir do sistema,Inexistente,Média,Fase 4,Impossibilidade de reconstituir caderneta; prejuízo ao tripulante
REQ-023,RBAC 43 / IS 43.9-004,Ordem de Serviço (OS) com campos regulatórios completos,MRO / SDRMe,OS com: descrição do trabalho, referência técnica, data, executor, aprovador, licença ANAC,Evidência de OS completo exportável em PDF,Protótipo (MRO existe),Alta,Fase 4,OS sem validade regulatória; manutenção não documentada
